OrgId,AddressId,Contenta,isSubOrg
387,159,Cukurova University,0
388,160,Manisa Celal Bayar Univ,0
389,160,Celal Bayar University,0
390,161,Evliya Celebi Hosp,0
391,162,Baskent Univ,0
392,162,Baskent University,0
393,163,Baskent Univ,0
394,163,Cukurova University,0
395,163,Baskent University,0
396,164,Queen Mary Univ London,0
397,164,University of London,0
398,164,Queen Mary University London,0
399,164,Queen Mary University of London Faculty of Medicine and Dentistry,0
400,164,Queen Mary University of London Barts and The London School of Medicine and Dentistry,0
401,164,Barts and The London School of Medicine and Dentistry William Harvey Research Institute,0
402,165,UCL,0
403,165,University of London,0
404,165,University College London,0
405,165,University College London School of Life and Medical Sciences,0
406,165,University College London Faculty of Population Health Sciences,0
407,165,University College London Institute of Child Health,0
408,165,University College London Great Ormond Street Institute of Child Health Library,0
409,166,Univ Michigan,0
410,166,University of Michigan System,0
411,166,University of Michigan,0
412,166,University of Michigan Michigan Medicine,0
413,166,University of Michigan School of Medicine,0
414,166,University of Michigan Department of Internal Medicine,0
415,167,Univ Michigan,0
416,167,University of Michigan System,0
417,167,University of Michigan,0
418,167,University of Michigan Michigan Medicine,0
419,167,University of Michigan School of Medicine,0
420,167,University of Michigan Department of Pharmacology,0
421,168,Univ Hosp Bristol NHS Fdn Trust,0
422,168,Bristol Royal Hospital For Children,0
423,168,University of Bristol,0
424,169,Newcastle Univ,0
425,169,Newcastle University - UK,0
426,169,Newcastle University Faculty of Medical Sciences,0
427,169,Newcastle University Life,0
428,170,Cukurova Univ,0
429,170,Cukurova University,0
430,171,Hull Royal Infirm,0
431,171,University of Hull,0
432,172,Univ Glasgow,0
433,172,University of Glasgow,0
434,172,University of Glasgow College of Medical Veterinary and Life Sciences,0
435,172,University of Glasgow Institute of Cardiovascular and Medical Sciences,0
436,173,Univ Alberta,0
437,173,University of Alberta,0
438,173,University of Alberta Faculty of Medicine & Dentistry,0
439,173,University of Alberta Department of Pediatrics,0
440,174,Marmara Univ,0
441,174,Marmara University,0
442,175,Lady Cilento Childrens Hosp,0
443,175,Childrens Health Queensland Hospital & Health Service,0
444,175,Queensland Childrens Hospital,0
445,176,Univ Queensland,0
446,176,University of Queensland,0
447,177,Queensland Univ Technol,0
448,177,Queensland University of Technology (QUT),0
449,177,Queensland University of Technology Faculty of Health,0
450,177,Queensland University of Technology Faculty of Health,0
451,177,Queensland University of Technology Institute of Health and Biomedical Innovation,0
452,178,CHU Nantes,0
453,178,Nantes Universite,0
454,178,CHU de Nantes,0
455,179,Univ Nantes,0
456,179,Nantes Universite,0
457,179,CHU de Nantes,0
458,179,Centre National de la Recherche Scientifique (CNRS),0
459,179,CNRS - National Institute for Biology (INSB),0
460,179,Institut National de la Sante et de la Recherche Medicale (Inserm),0
461,179,University Hospital Centre Nantes Division 2 Thorax Institute and Nervous System,0
462,179,Thorax Institute,0
463,180,Childrens Hosp,0
464,181,Royal Brisbane & Womens Hosp,0
465,181,Royal Brisbane & Women's Hospital,0
466,182,Univ Queensland,0
467,182,University of Queensland,0
468,182,The University of Queensland Faculty of Medicine,0
469,183,Univ Coll London Hosp,0
470,183,University College London Hospitals NHS Foundation Trust,0
471,183,University of London,0
472,183,University College London,0
473,184,Glasgow Univ,0
474,184,University of Glasgow,0
475,184,University of Glasgow College of Medical Veterinary and Life Sciences,0
476,184,University of Glasgow School of Medicine Dentistry and Nursing,0
477,184,University of Glasgow College of Medical Veterinary and Life Sciences,0
478,184,University of Glasgow School of Medicine Dentistry and Nursing,0
479,184,University of Glasgow Department of Child Health,0
480,185,Cukurova Univ,0
481,185,Cukurova University,0
482,185,Cukurova University Faculty of Medicine,0
483,186,Cukurova Univ,0
484,186,Cukurova University,0
485,186,Cukurova University Faculty of Medicine,0
486,187,Haydarpasa Numune Egitim & Arastirma Hastanesi,0
487,187,Istanbul Haydarpasa Numune Training & Research Hospital,0
488,188,Cukurova Univ,0
489,188,Cukurova University,0
490,189,Private Adana Hosp,0
491,189,Private Adana Hospital,0
492,190,Anadolu Univ,0
493,190,Anadolu University,0
494,190,Anadolu University Faculty of Pharmacy,0
495,191,Mustafa Kemal Univ,0
496,191,Mustafa Kemal University,0
497,191,Mustafa Kemal University Tayfur Ata Sokmen Faculty of Medicine,0
498,192,Seyhan State Hosp,0
499,192,Ceyhan State Hospital,0
500,193,Cukurova Univ,0
501,193,Cukurova University,0
502,193,Cukurova University Faculty of Medicine,0
503,194,Univ Hlth Sci,0
504,194,Cukurova University,0
505,194,University of Health Sciences Turkey,0
506,195,Pamukkale Univ,0
507,195,Pamukkale University,0
508,195,Pamukkale University School of Medicine,0
509,196,Medline Hosp,0
510,196,Cukurova University,0
511,196,Medline Health Group,0
512,197,Univ Hlth Sci,0
513,197,University of Health Sciences Turkey,0
514,198,Cukurova Univ,0
515,198,Cukurova University,0
516,198,Cukurova University Faculty of Medicine,0
517,199,Cukurova Univ,0
518,199,Cukurova University,0
519,199,Cukurova University Faculty of Medicine,0
520,200,Cukurova Univ,0
521,200,Cukurova University,0
522,200,Cukurova University Faculty of Dentistry,0
523,201,Cukurova Univ,0
524,201,Cukurova University,0
525,202,Abdullah Gul Univ,0
526,202,Abdullah Gul University,0
527,203,Adana Sci & Technol Univ,0
528,203,Adana Alparslan Turkes Science & Technology University,0
529,204,Cukurova Univ,0
530,204,Cukurova University,0
531,204,Cukurova University Faculty of Engineering and Architecture,0
532,204,Cukurova University Department of Environmental Engineering,0
533,205,Cukurova Univ,0
534,205,Cukurova University,0
535,205,Cukurova University Faculty of Agriculture,0
536,206,Kahramanmaras Univ,0
537,206,Kahramanmaras Sutcu Imam University,0
538,206,Kahramanmaras Sutcu Imam University Faculty of Agriculture,0
539,207,Cukurova Univ,0
540,207,Cukurova University,0
541,208,Cukurova Univ,0
542,208,Cukurova University,0
543,209,Cukurova Univ,0
544,209,Cukurova University,0
545,209,Cukurova University Faculty of Medicine,0
546,210,Cukurova Univ,0
547,210,Cukurova University,0
548,210,Cukurova University Faculty of Medicine,0
549,211,Cukurova Univ,0
550,211,Cukurova University,0
551,211,Cukurova University Faculty of Medicine,0
552,212,Cukurova Univ,0
553,212,Cukurova University,0
554,212,Cukurova University Faculty of Medicine,0
555,213,Cukurova Univ,0
556,213,Cukurova University,0
557,213,Cukurova University Faculty of Medicine,0
558,214,Cukurova Univ,0
559,214,Cukurova University,0
